,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1,fMF,nHBAcc,apol,bpol,Vabc,MW,AMW,ABC,ABCGG,nAromAtom,nAromBond,C1SP2,C2SP2,C3SP2,C1SP3,HybRatio,FCSP3
150,4.99,1280.443,0.033470005,0.021496995,64,451.96,0.505983205,6.361858506,3.502377495,0.309937687,1.988727916,0.587493824,0.0001,1.919,0.4063,18,171.558064,82.573936,1008.454313,1236.071947,9.656812088,63.762945555723846,44.33731773192898,52,54,2,34,12,8,0.2,0.1935483870967742
151,4.97,1121.709333,0.033470005,0.228303529,60,507.59,0.358295313,6.242966791,3.398974228,0.425586077,2.025724551,0.399191033,0.017200291,1.6994,0.6122,18,148.284204,69.315796,820.3587831,1169.837197,11.93711426,57.31185313734181,40.92243387515958,60,64,4,34,8,0,0.08,0.08
152,4.97,1084.119667,0.033470005,0.177418237,55,538.66,0.34286047,5.787052264,2.941550829,0.737700675,2.023089932,0.720285388,1.476451168,1.6393,0.5446,19,138.738962,71.173038,767.9503782,1046.012793,10.3565623,55.12623159162537,39.329154804712005,49,53,0,34,4,2,0.2083333333333333,0.1666666666666666
153,4.96,514.9173333,0.033470005,1.449550533,38,488.86,0.517222052,6.125488435,3.159241917,1.108591867,2.501943763,0.976072417,0.0,1.1622,0.5806,4,79.913446,33.286554,454.1785166,558.1184179,9.001909967,33.064976196934225,25.102760150599035,28,30,4,20,6,0,0.0625,0.0625
154,4.93,1043.298667,0.077824564,0.062586188,59,466.75,0.57634668,6.347988047,3.41394049,0.502866414,2.078496402,0.641100255,2.742965301,1.8755,0.5446,11,137.692548,56.807452,804.6947591,972.0658566,9.624414422,53.23722406696541,37.28647806849497,47,47,0,36,12,6,0.1111111111111111,0.1111111111111111
155,4.92,1044.918667,0.077824564,0.197282549,64,503.78,0.350575443,6.298797752,3.363327312,0.205718078,2.179720248,0.582051547,0.024209502,1.1635,0.5455,12,149.666134,68.113866,874.4334196,1086.065874,9.873326125,58.97800435296317,42.388008567678206,44,46,6,34,10,0,0.1071428571428571,0.1071428571428571
156,4.91,977.3456667,0.033470005,0.20299694,54,424.62,0.456743658,6.685989108,3.785648023,0.381231518,2.951238382,0.664229933,1.997527637,1.6432,0.551,18,133.094962,61.821038,741.3389095,986.0570403,10.06180653,52.25431854489368,34.21011603070813,54,56,4,28,6,6,0.1739130434782608,0.1739130434782608
157,4.88,635.577,0.033470005,1.383698979,32,483.86,0.502688179,6.338699984,3.385368535,1.336079054,2.485639728,0.793211903,0.034601301,1.1825,0.2941,4,117.757236,62.242764,691.5226539,704.3470209,6.90536295,40.46329591936647,31.7229103441328,22,22,2,16,8,12,0.4090909090909091,0.4090909090909091
158,4.86,1353.801333,0.077824564,0.738244903,61,493.08,0.461090677,6.321513001,3.412035693,0.240548652,2.228011919,0.596201468,2.545850907,1.6823,0.5646,11,191.930615,75.429385,1120.506821,1278.307579,8.695969925,73.90347850385601,44.66779673562397,77,78,0,60,14,4,0.0512820512820512,0.05
159,4.84,1110.934,0.077824564,0.610623502,51,452.58,0.410034498,6.420431287,3.511629366,0.14449246,2.27018528,0.776340843,0.770200299,1.8856,0.5659,11,165.810064,65.845936,979.1005681,1100.300088,8.529458045,64.32590180780443,39.90199909092716,67,68,0,56,10,0,0.0294117647058823,0.0285714285714285
